Speed Heal Charm I,Rarity 4,Recovery Speed 1,None
Speed Heal Charm III,Rarity 7,Recovery Speed 3,None
Speed Heal Charm II,Rarity 6,Recovery Speed 2,None
Fire Charm I,Rarity 3,Fire Resistance 1,None
Fire Charm II,Rarity 5,Fire Resistance 2,None
Fire Charm III,Rarity 7,Fire Resistance 3,None
Water Charm I,Rarity 3,Water Resistance 1,None
Water Charm II,Rarity 5,Water Resistance 2,None
Water Charm III,Rarity 7,Water Resistance 3,None
Ice Charm I,Rarity 4,Ice Resistance 1,None
Ice Charm II,Rarity 6,Ice Resistance 2,None
Ice Charm III,Rarity 7,Ice Resistance 3,None
Thunder Charm I,Rarity 3,Thunder Resistance 1,None
Thunder Charm II,Rarity 5,Thunder Resistance 2,None
Thunder Charm III,Rarity 7,Thunder Resistance 3,None
Dragon Charm I,Rarity 5,Dragon Resistance 1,None
Dragon Charm II,Rarity 6,Dragon Resistance 2,None
Dragon Charm III,Rarity 7,Dragon Resistance 3,None
Blight Charm I,Rarity 4,Blight Resistance 1,None
Blight Charm II,Rarity 7,Blight Resistance 2,None
Blight Charm III,Rarity 8,Blight Resistance 3,None
Blaze Charm I,Rarity 3,Fire Attack 1,None
Blaze Charm II,Rarity 6,Fire Attack 2,None
Blaze Charm III,Rarity 7,Fire Attack 3,None
Flood Charm I,Rarity 3,Water Attack 1,None
Flood Charm II,Rarity 5,Water Attack 2,None
Flood Charm III,Rarity 7,Water Attack 3,None
Frost Charm I,Rarity 4,Ice Attack 1,None
Frost Charm II,Rarity 6,Ice Attack 2,None
Frost Charm III,Rarity 7,Ice Attack 3,None
Shock Charm I,Rarity 3,Thunder Attack 1,None
Shock Charm II,Rarity 5,Thunder Attack 2,None
Shock Charm III,Rarity 7,Thunder Attack 3,None
Wyrmsbane Charm I,Rarity 5,Dragon Attack 1,None
Wyrmsbane Charm II,Rarity 7,Dragon Attack 2,None
Wyrmsbane Charm III,Rarity 8,Dragon Attack 3,None
Venom Charm I,Rarity 3,Poison Attack 1,None
Venom Charm II,Rarity 6,Poison Attack 2,None
Venom Charm III,Rarity 7,Poison Attack 3,None
Immobilize Charm I,Rarity 3,Paralysis Attack 1,None
Immobilize Charm II,Rarity 5,Paralysis Attack 2,None
Immobilize Charm III,Rarity 7,Paralysis Attack 3,None
Tranq Charm I,Rarity 3,Sleep Attack 1,None
Tranq Charm II,Rarity 5,Sleep Attack 2,None
Tranq Charm III,Rarity 7,Sleep Attack 3,None
Demolition Charm I,Rarity 5,Blast Attack 1,None
Demolition Charm II,Rarity 6,Blast Attack 2,None
Demolition Charm III,Rarity 8,Blast Attack 3,None
Master's Charm I,Rarity 4,Critical Eye 1,None
Master's Charm II,Rarity 6,Critical Eye 2,None
Master's Charm III,Rarity 7,Critical Eye 3,None
Critical Charm I,Rarity 8,Critical Boost 1,None
Exploiter Charm I,Rarity 6,Weakness Exploit 1,None
Exploiter Charm II,Rarity 8,Weakness Exploit 2,None
Focus Charm I,Rarity 6,Focus 1,None
Focus Charm II,Rarity 7,Focus 2,None
Invigorate Charm I,Rarity 8,Power Prolonger 1,None
Invigorate Charm II,Rarity 8,Power Prolonger 2,None
Draw Charm I,Rarity 5,Critical Draw 1,None
Draw Charm II,Rarity 7,Critical Draw 2,None
Breaker Charm I,Rarity 6,Partbreaker 1,None
Breaker Charm II,Rarity 8,Partbreaker 2,None
KO Charm I,Rarity 3,Slugger 1,None
KO Charm II,Rarity 5,Slugger 2,None
KO Charm III,Rarity 7,Slugger 3,None
Enervate Charm I,Rarity 3,Stamina Thief 1,None
Enervate Charm II,Rarity 5,Stamina Thief 2,None
Enervate Charm III,Rarity 6,Stamina Thief 3,None
Power Charm I,Rarity 7,Latent Power 1,None
Power Charm II,Rarity 8,Latent Power 2,None
Challenger Charm I,Rarity 7,Agitator 1,None
Challenger Charm II,Rarity 8,Agitator 2,None
Unscathed Charm I,Rarity 7,Peak Performance 1,None
Unscathed Charm II,Rarity 8,Peak Performance 2,None
Fury Charm I,Rarity 6,Resentment 1,None
Fury Charm II,Rarity 8,Resentment 2,None
Special Shot Charm I,Rarity 5,Special Ammo Boost 1,None
Special Shot Charm II,Rarity 8,Special Ammo Boost 2,None
Artillery Charm I,Rarity 3,Artillery 1,None
Artillery Charm II,Rarity 5,Artillery 2,None
Artillery Charm III,Rarity 7,Artillery 3,None
Marathon Charm I,Rarity 5,Marathon Runner 1,None
Marathon Charm II,Rarity 8,Marathon Runner 2,None
Fitness Charm I,Rarity 5,Constitution 1,None
Fitness Charm II,Rarity 6,Constitution 2,None
Surge Charm I,Rarity 5,Stamina Surge 1,None
Surge Charm II,Rarity 7,Stamina Surge 2,None
Hungerless Charm I,Rarity 3,Hunger Resistance 1,None
Hungerless Charm II,Rarity 5,Hunger Resistance 2,None
Hungerless Charm III,Rarity 6,Hunger Resistance 3,None
Evasion Charm I,Rarity 4,Evade Window 1,None
Evasion Charm II,Rarity 6,Evade Window 2,None
Evasion Charm III,Rarity 7,Evade Window 3,None
Leaping Charm I,Rarity 5,Evade Extender 1,None
Leaping Charm II,Rarity 7,Evade Extender 2,None
Ironside Charm I,Rarity 3,Guard 1,None
Ironside Charm II,Rarity 5,Guard 2,None
Ironside Charm III,Rarity 7,Guard 3,None
Sheath Charm I,Rarity 4,Quick Sheath 1,None
Sheath Charm II,Rarity 6,Quick Sheath 2,None
Sheath Charm III,Rarity 8,Quick Sheath 3,None
Friendship Charm I,Rarity 3,Wide-Range 1,None
Friendship Charm II,Rarity 5,Wide-Range 2,None
Friendship Charm III,Rarity 7,Wide-Range 3,None
Extension Charm I,Rarity 3,Item Prolonger 1,None
Extension Charm II,Rarity 6,Item Prolonger 2,None
Extension Charm III,Rarity 7,Item Prolonger 3,None
Glutton's Charm I,Rarity 3,Speed Eating 1,None
Glutton's Charm II,Rarity 5,Speed Eating 2,None
Glutton's Charm III,Rarity 7,Speed Eating 3,None
Whetstone Charm I,Rarity 4,Speed Sharpening 1,None
Whetstone Charm II,Rarity 6,Speed Sharpening 2,None
Whetstone Charm III,Rarity 7,Speed Sharpening 3,None
Bombardier Charm I,Rarity 5,Bombardier 1,None
Bombardier Charm II,Rarity 6,Bombardier 2,None
Bombardier Charm III,Rarity 7,Bombardier 3,None
Mushroom Charm I,Rarity 5,Mushroomancer 1,None
Mushroom Charm II,Rarity 8,Mushroomancer 2,None
Blessing Charm I,Rarity 3,Divine Blessing 1,None
Blessing Charm II,Rarity 5,Divine Blessing 2,None
Blessing Charm III,Rarity 7,Divine Blessing 3,None
Rally Charm I,Rarity 3,Palico Rally 1,None
Rally Charm II,Rarity 5,Palico Rally 2,None
Rally Charm III,Rarity 7,Palico Rally 3,None
Botany Charm I,Rarity 3,Botanist 1,None
Botany Charm II,Rarity 5,Botanist 2,None
Botany Charm III,Rarity 7,Botanist 3,None
Geology Charm I,Rarity 3,Geologist 1,None
Geology Charm II,Rarity 5,Geologist 2,None
Geology Charm III,Rarity 7,Geologist 3,None
Mighty Charm I,Rarity 7,Maximum Might 1,None
Mighty Charm II,Rarity 8,Maximum Might 2,None
Slinger Charm I,Rarity 3,Invalid Message 1,None
Slinger Charm II,Rarity 5,Invalid Message 2,None
Slinger Charm III,Rarity 7,Invalid Message 3,None
Stealth Charm I,Rarity 3,Stealth 1,None
Stealth Charm II,Rarity 6,Stealth 2,None
Stealth Charm III,Rarity 7,Stealth 3,None
Impact Charm I,Rarity 7,Flinch Free 1,None
Impact Charm II,Rarity 8,Flinch Free 2,None
Smoke Charm I,Rarity 3,Survival Expert 1,None
Smoke Charm II,Rarity 5,Survival Expert 2,None
Smoke Charm III,Rarity 7,Survival Expert 3,None
Mirewalker Charm I,Rarity 3,Aquatic/Polar Mobility 1,None
Mirewalker Charm II,Rarity 5,Aquatic/Polar Mobility 2,None
Mirewalker Charm III,Rarity 6,Aquatic/Polar Mobility 3,None
Insect Charm I,Rarity 3,Entomologist 1,None
Insect Charm II,Rarity 5,Entomologist 2,None
Insect Charm III,Rarity 6,Entomologist 3,None
Miasma Charm I,Rarity 7,Effluvia Resistance 1,None
Miasma Charm II,Rarity 7,Effluvia Resistance 2,None
Miasma Charm III,Rarity 8,Effluvia Resistance 3,None
Intimidator Charm I,Rarity 3,Intimidator 1,None
Intimidator Charm II,Rarity 5,Intimidator 2,None
Intimidator Charm III,Rarity 6,Intimidator 3,None
Awakening Charm I,Rarity 5,Free Elem/Ammo Up 1,None
Awakening Charm II,Rarity 7,Free Elem/Ammo Up 2,None
Handicraft Charm I,Rarity 5,Handicraft 1,None
Handicraft Charm II,Rarity 7,Handicraft 2,None
Handicraft Charm III,Rarity 8,Handicraft 3,None
Grit Charm I,Rarity 6,Heroics 1,None
Grit Charm II,Rarity 7,Heroics 2,None
Maintenance Charm I,Rarity 6,Tool Specialist 1,None
Maintenance Charm II,Rarity 7,Tool Specialist 2,None
Maintenance Charm III,Rarity 8,Tool Specialist 3,None
Heavy Artillery Charm I,Rarity 3,Heavy Artillery 1,None
Heavy Artillery Charm II,Rarity 5,Heavy Artillery 2,None
Light Eater's Charm,Rarity 3,Free Meal 1,None
Normal Shots Charm,Rarity 7,Normal Shots 1,None
Penetration Charm,Rarity 8,Piercing Shots 1,None
Dispersal Charm,Rarity 8,Spread/Power Shots 1,None
Poison Coating Charm,Rarity 8,Poison Functionality 1,None
Para Coating Charm,Rarity 8,Para Functionality 1,None
Sleep Coating Charm,Rarity 8,Sleep Functionality 1,None
Blast Coating Charm,Rarity 8,Blast Functionality 1,None
Fortification Charm,Rarity 3,Fortify 1,None
Performer's Charm,Rarity 3,Horn Maestro 1,None
Capacity Charm,Rarity 3,Capacity Boost 1,None
Mud Puppy Charm,Rarity 5,Muck Resistance 1,Leap of Faith 1
Trickshot Charm,Rarity 5,Dungmaster 1,Blindsider 1
Hunter's Life Charm,Rarity 5,BBQ Master 1,Master Fisher 1
Procurer's Charm,Rarity 5,Pro Transporter 1,Honey Hunter 1
Gatherer's Charm,Rarity 5,Master Gatherer 1,Carving Pro 1
Clearmind Charm,Rarity 7,Heat Guard 1,Effluvial Expert 1
Rider's Charm,Rarity 7,Master Mounter 1,Jump Master 1
Surveyor's Charm,Rarity 7,Scoutfly Range Up 1,Scholar 1
Tracker Charm,Rarity 3,Scenthound 1,None
Geomancy Charm,Rarity 8,Forager's Luck 1,Detector 1
Gale Charm,Rarity 8,Affinity Sliding 1,Airborne 1
Wyrmslayer Charm,Rarity 8,Elderseal Boost 1,Dragon Attack 1
Bulwark Charm,Rarity 8,Guard Up 1,Resuscitate 1
Fitness Charm III,Rarity 7,Constitution 3,None
Attack Charm IV,Rarity 11,Attack Boost 4,None
Defense Charm IV,Rarity 9,Defense Boost 4,None
Defense Charm V,Rarity 11,Defense Boost 5,None
Windproof Charm IV,Rarity 11,Windproof 4,None
Blaze Charm IV,Rarity 10,Fire Attack 4,None
Blaze Charm V,Rarity 11,Fire Attack 5,None
Flood Charm IV,Rarity 10,Water Attack 4,None
Flood Charm V,Rarity 11,Water Attack 5,None
Shock Charm IV,Rarity 10,Thunder Attack 4,None
Shock Charm V,Rarity 11,Thunder Attack 5,None
Ironside Charm IV,Rarity 11,Guard 4,None
Ironside Charm V,Rarity 12,Guard 5,None
Friendship Charm IV,Rarity 11,Wide-Range 4,None
Friendship Charm V,Rarity 12,Wide-Range 5,None
Rally Charm IV,Rarity 9,Palico Rally 4,None
Rally Charm V,Rarity 10,Palico Rally 5,None
Botany Charm IV,Rarity 9,Botanist 4,None
Frost Charm IV,Rarity 11,Ice Attack 4,None
Frost Charm V,Rarity 12,Ice Attack 5,None
Master's Charm IV,Rarity 11,Critical Eye 4,None
Evasion Charm IV,Rarity 12,Evade Window 4,None
Wyrmsbane Charm IV,Rarity 11,Dragon Attack 4,None
Wyrmsbane Charm V,Rarity 12,Dragon Attack 5,None
Marathon Charm III,Rarity 12,Marathon Runner 3,None
Fitness Charm IV,Rarity 11,Constitution 4,None
Surge Charm III,Rarity 12,Stamina Surge 3,None
Leaping Charm III,Rarity 12,Evade Extender 3,None
Mushroom Charm III,Rarity 11,Mushroomancer 3,None
Awakening Charm III,Rarity 12,Free Elem/Ammo Up 3,None
Handicraft Charm IV,Rarity 12,Handicraft 4,None
Earplugs Charm IV,Rarity 12,Earplugs 4,None
Tremor Charm III,Rarity 12,Tremor Resistance 3,None
Focus Charm III,Rarity 12,Focus 3,None
Breaker Charm III,Rarity 11,Partbreaker 3,None
Fury Charm III,Rarity 11,Resentment 3,None
Fury Charm IV,Rarity 12,Resentment 4,None
Grit Charm III,Rarity 11,Heroics 3,None
Grit Charm IV,Rarity 12,Heroics 4,None
Power Charm III,Rarity 11,Latent Power 3,None
Power Charm IV,Rarity 12,Latent Power 4,None
Challenger Charm III,Rarity 11,Agitator 3,None
Challenger Charm IV,Rarity 12,Agitator 4,None
Impact Charm III,Rarity 11,Flinch Free 3,None
Critical Charm II,Rarity 12,Critical Boost 2,None
Invigorate Charm III,Rarity 11,Power Prolonger 3,None
Phoenix Charm I,Rarity 11,Coalescence 1,None
Phoenix Charm II,Rarity 12,Coalescence 2,None
Guardian Charm I,Rarity 9,Offensive Guard 1,None
Guardian Charm II,Rarity 10,Offensive Guard 2,None
Guardian Charm III,Rarity 12,Offensive Guard 3,None
Adamantine Charm,Rarity 11,Non-elemental Boost 1,Bludgeoner 1
Razor Sharp Charm,Rarity 11,Razor Sharp/Spare Shot 1,None
Sealer's Charm,Rarity 11,Elderseal Boost 1,Adrenaline 1
Gutsy Charm,Rarity 11,Guts 1,None
Venom Charm IV,Rarity 11,Poison Attack 4,None
Immobilize Charm IV,Rarity 11,Paralysis Attack 4,None
Tranq Charm IV,Rarity 11,Sleep Attack 4,None
Demolition Charm IV,Rarity 11,Blast Attack 4,None
Normal Shots Charm II,Rarity 11,Normal Shots 2,None
Penetration Charm II,Rarity 11,Piercing Shots 2,None
Dispersal Charm II,Rarity 11,Spread/Power Shots 2,None
Performer's Charm II,Rarity 9,Horn Maestro 2,None
