Name,Rarity,Attack,True Attack,Element,Element Stat,Affinity(%),Defense,Elderseal,Gem Slot 1(Lvl),Gem Slot 2(Lvl),Gem Slot 3(Lvl),Skill,Max Sharpness,Red Sharpness,Orange Sharpness,Yellow Sharpness,Green Sharpness,Blue Sharpness,White Sharpness,Purple Sharpness
Barroth Stinger I,5,391,170,Hidden Paralysis,300,-20,+15,None,1,None,None,None,300,130,70,30,70,0,0,0
Barroth Stinger II,6,437,190,Hidden Paralysis,330,-20,+15,None,1,1,None,None,300,110,70,30,90,0,0,0
Barroth Stinger III,6,460,200,Hidden Paralysis,390,-20,+15,None,2,1,None,None,350,100,120,40,50,40,0,0
Barroth Halberd I,9,552,240,Hidden Paralysis,420,-20,+25,None,2,1,None,None,350,130,100,30,30,60,0,0
Barroth Halberd II,10,621,270,Hidden Paralysis,450,-20,+25,None,2,2,None,None,350,130,100,30,30,60,0,0
Nergal Impaler,7,460,200,Dragon,120,0,0,High,1,None,None,None,400,120,120,40,50,70,0,0
Perdition's Hand,8,483,210,Dragon,150,0,0,High,1,None,None,None,400,110,120,40,50,80,0,0
Ruinous Perdition,12,667,290,Dragon,180,0,0,High,1,None,None,None,400,80,30,30,110,40,110,0
Taurus Lance I,3,276,120,None,0,0,0,None,None,None,None,None,250,110,70,30,40,0,0,0
Taurus Lance II,4,299,130,None,0,0,0,None,None,None,None,None,250,100,70,30,50,0,0,0
Dark Stinger I,5,322,140,Hidden Blast,180,0,0,None,3,None,None,None,300,100,100,40,40,20,0,0
Dark Stinger II,6,345,150,Hidden Blast,210,0,0,None,3,None,None,None,300,90,100,40,40,30,0,0
Dark Stinger III,6,368,160,Hidden Blast,240,0,0,None,3,None,None,None,350,110,30,60,80,40,30,0
Abyss Aggressor I,9,460,200,Hidden Blast,300,0,0,None,3,None,None,None,350,110,30,30,110,40,30,0
Abyss Aggressor II,10,529,230,Hidden Blast,360,0,0,None,3,None,None,None,350,120,20,20,70,40,30,50
Glacial Lance I,4,299,130,Ice,270,0,0,None,None,None,None,None,250,100,70,30,50,0,0,0
Glacial Lance II,5,322,140,Ice,300,0,0,None,None,None,None,None,300,110,100,40,40,10,0,0
Legiana Halberd I,6,345,150,Ice,330,0,0,None,None,None,None,None,300,100,100,40,40,20,0,0
Legiana Halberd II,7,368,160,Ice,360,0,0,None,None,None,None,None,350,130,30,60,80,40,10,0
Legiana Halberd III,10,483,210,Ice,420,0,0,None,None,None,None,None,350,100,80,30,30,80,30,0
Hoarcry Halberd,10,529,230,Ice,540,0,0,None,1,None,None,None,350,130,30,30,60,50,50,0
Garon Lance I,4,299,130,None,0,15,0,None,None,None,None,None,250,90,70,30,60,0,0,0
Garon Lance II,5,322,140,Hidden Fire,150,15,0,None,None,None,None,None,300,100,100,40,40,20,0,0
Garon Dhara I,6,345,150,Hidden Fire,180,30,0,None,None,None,None,None,300,80,100,40,40,40,0,0
Garon Dhara II,7,391,170,Hidden Fire,210,30,0,None,None,None,None,None,400,170,100,30,30,40,30,0
Odogaron's Misery I,10,506,220,Hidden Fire,300,30,0,None,None,None,None,None,400,120,80,30,30,80,60,0
Odogaron's Misery II,10,529,230,Hidden Fire,330,35,0,None,None,None,None,None,400,110,80,30,30,80,70,0
Hazak Wächter,7,437,190,Dragon,240,0,0,Average,2,None,None,None,350,140,110,40,40,20,0,0
Love's Sorrow,8,460,200,Dragon,270,0,0,Average,2,None,None,None,350,200,70,20,20,40,0,0
Love's Tragedy,11,552,240,Dragon,360,0,0,Average,2,2,None,None,350,80,80,30,30,80,50,0
Love's End,12,575,250,Dragon,480,0,0,Average,2,2,None,None,350,70,80,30,30,80,60,0
Flame Lance I,4,299,130,Fire,180,10,0,None,None,None,None,None,250,50,50,80,70,0,0,0
Flame Lance II,5,322,140,Fire,210,10,0,None,1,None,None,None,300,90,50,80,80,0,0,0
Red Tail,6,391,170,Fire,240,10,0,None,1,None,None,None,300,110,50,50,80,10,0,0
Thunderpike,4,253,110,Thunder,420,10,0,None,None,None,None,None,250,60,50,80,60,0,0,0
Thunderspear,7,345,150,Thunder,480,10,0,None,None,None,None,None,350,110,20,20,150,50,0,0
Thunderpiercer,8,368,160,Thunder,540,10,0,None,None,None,None,None,350,110,20,20,140,60,0,0
Naar Thunderlance,11,529,230,Thunder,600,10,0,None,None,None,None,None,350,60,80,30,30,80,70,0
Gama Pilebunker I,6,368,160,Blast,180,0,0,None,2,2,None,None,300,100,50,50,80,20,0,0
Gama Pilebunker II,7,391,170,Blast,210,0,0,None,2,2,None,None,350,90,60,80,80,40,0,0
Gama Drill I,9,460,200,Blast,240,0,0,None,3,2,None,None,350,100,80,30,30,80,30,0
Gama Drill II,10,552,240,Blast,270,0,0,None,3,2,None,None,350,140,30,30,60,50,40,0
Blue Tail,7,414,180,Fire,270,20,0,None,1,None,None,None,350,110,60,80,80,20,0,0
Blue Prominence,8,437,190,Fire,300,20,0,None,1,None,None,None,350,90,60,60,100,40,0,0
Blue Prominence+,10,506,220,Fire,330,20,0,None,1,None,None,None,350,100,100,40,50,60,0,0
Soul Prominence,10,552,240,Fire,360,20,0,None,1,None,None,None,350,110,30,30,110,40,30,0
Silver Prominence,12,621,270,Fire,390,20,0,None,2,None,None,None,350,130,30,30,60,50,50,0
Icesteel Spear,7,391,170,Ice,210,10,0,None,2,None,None,None,350,110,60,80,80,20,0,0
Daora's Fang,8,414,180,Ice,240,10,0,None,2,None,None,None,350,90,60,80,80,40,0,0
Daora's Regulus,11,598,260,Ice,270,10,0,None,2,None,None,None,350,140,30,30,60,50,40,0
Xeno Zauta,8,391,170,Dragon,180,15,0,Low,3,3,None,None,350,130,30,60,80,40,10,0
Rookslayer Lance,6,414,180,Blast,180,-10,0,None,None,None,None,None,300,110,100,40,40,10,0,0
Bazel Myniad Rookslayer,8,460,200,Blast,210,-10,0,None,None,None,None,None,350,70,120,80,60,20,0,0
Blasting Siegespear,11,575,250,Blast,270,-10,0,None,1,1,None,None,350,160,30,30,60,50,20,0
Bazel Rocket Rooksearer,12,598,260,Blast,330,-10,0,None,1,1,None,None,350,150,30,30,60,50,30,0
Dragonbone Lance I,3,230,100,Dragon,300,0,0,Low,None,None,None,None,250,110,70,30,40,0,0,0
Dragonbone Lance II,4,253,110,Dragon,360,0,0,Low,None,None,None,None,250,70,70,30,80,0,0,0
Dragonbone Lance III,6,368,160,Dragon,420,0,0,Low,1,1,None,None,350,120,110,40,40,40,0,0
Dragonseal Aldspear I,10,483,210,Dragon,540,0,0,Average,1,1,None,None,350,130,100,30,30,60,0,0
Dragonseal Aldspear II,11,552,240,Dragon,630,0,0,Average,1,1,None,None,350,130,100,30,30,60,0,0
Blacksteel Lance I,5,230,100,Dragon,120,0,0,Low,None,None,None,None,300,150,110,40,0,0,0,0
Blacksteel Lance II,6,253,110,Dragon,150,0,0,Low,None,None,None,None,300,140,110,40,10,0,0,0
Thunder Lance I,3,276,120,Thunder,120,0,0,None,None,None,None,None,250,90,50,80,30,0,0,0
Thunder Lance II,4,322,140,Thunder,150,0,0,None,None,None,None,None,250,80,50,80,40,0,0,0
Lightning Spire I,5,368,160,Thunder,180,0,0,None,2,None,None,None,300,60,50,80,110,0,0,0
Lightning Spire II,6,391,170,Thunder,210,0,0,None,2,None,None,None,300,110,50,50,80,10,0,0
Lightning Spire III,6,414,180,Thunder,240,0,0,None,2,None,None,None,350,90,60,80,80,40,0,0
Lightning Bolt I,9,483,210,Thunder,270,0,0,None,2,None,None,None,350,100,100,40,50,60,0,0
Lightning Bolt II,10,529,230,Thunder,300,0,0,None,2,None,None,None,350,90,100,40,50,70,0,0
Thunderpierce I,10,552,240,Thunder,360,0,0,None,2,None,None,None,350,100,80,30,30,80,30,0
Thunderpierce II,11,575,250,Thunder,420,0,0,None,2,1,None,None,350,130,30,90,30,30,40,0
Aqua Horn I,2,253,110,Water,150,0,0,None,None,None,None,None,200,80,50,50,20,0,0,0
Aqua Horn II,3,276,120,Water,180,0,0,None,None,None,None,None,250,120,70,30,30,0,0,0
Aqua Horn III,4,322,140,Water,210,0,0,None,None,None,None,None,250,110,70,30,40,0,0,0
Water Spike I,5,345,150,Water,240,0,0,None,2,None,None,None,300,140,70,30,60,0,0,0
Water Spike II,6,391,170,Water,270,0,0,None,2,None,None,None,300,100,100,40,40,20,0,0
Water Spike III,6,437,190,Water,300,0,0,None,2,None,None,None,350,110,120,40,50,30,0,0
Water Spike IV,9,529,230,Water,330,0,0,None,2,None,None,None,350,110,100,40,50,50,0,0
Hydros Ullr,11,621,270,Water,390,10,0,None,None,None,None,None,350,80,30,30,110,40,60,0
Babel Spear,6,414,180,Hidden Fire,270,0,+20,None,2,None,None,None,350,120,120,40,50,20,0,0
Elder Babel Spear,8,460,200,Hidden Fire,330,0,+20,None,3,None,None,None,350,110,120,40,50,30,0,0
Lost Babel,11,598,260,Hidden Fire,360,0,+40,None,4,None,None,None,350,60,30,30,110,40,80,0
Grief Lance,6,483,210,Dragon,150,-25,0,High,None,None,None,None,350,60,120,80,60,30,0,0
Fiendish Tower,7,529,230,Dragon,210,-25,0,High,None,None,None,None,350,50,120,80,60,40,0,0
Fate's Spindle,12,644,280,Dragon,360,-30,0,High,None,None,None,None,350,160,30,30,60,50,20,0
Empress Lance,7,414,180,Blast,150,0,0,None,2,1,None,None,350,110,30,60,80,40,30,0
"Empress Lance ""Blaze""",8,414,180,Blast,180,20,0,None,2,1,None,Guts,350,110,30,60,80,40,30,0
"Soulfire Spike ""Blaze""",12,575,250,Blast,270,20,0,None,2,1,None,Guts,350,120,30,90,30,30,50,0
"Empress Lance ""Ruin""",8,437,190,Blast,150,0,0,None,2,2,None,Hasten Recovery,350,110,30,60,80,40,30,0
"Soulfire Spike ""Ruin""",12,621,270,Blast,210,0,0,None,2,2,None,Hasten Recovery,350,120,30,90,30,30,50,0
"Empress Lance ""Styx""",8,414,180,Blast,240,10,0,None,3,3,None,Razor Sharp/Spare Shot,350,110,30,60,80,40,30,0
"Soulfire Spike ""Styx""",12,575,250,Blast,330,10,0,None,3,3,None,Razor Sharp/Spare Shot,350,120,30,90,30,30,50,0
Shooting Star Lance,4,299,130,Paralysis,120,0,0,None,None,None,None,None,250,60,50,80,60,0,0,0
Sapphire Star Lance,7,437,190,Paralysis,180,0,0,None,None,None,None,None,350,90,50,50,80,80,0,0
Shining Star Lance,11,598,260,Paralysis,300,0,0,None,None,None,None,None,350,60,80,30,30,80,70,0
Fair Wind Lance,4,299,130,Sleep,120,0,0,None,None,None,None,None,250,60,50,80,60,0,0,0
White Wind Lance,7,391,170,Sleep,180,0,0,None,None,None,None,None,350,220,20,20,20,30,40,0
Sweeping Gale Lance,11,598,260,Sleep,270,0,0,None,None,None,None,None,350,70,80,30,30,80,60,0
Defender Lance I,1,299,130,Blast,180,0,0,None,None,None,None,None,200,30,60,20,90,0,0,0
Defender Lance II,3,391,170,Blast,210,0,0,None,None,None,None,None,250,30,60,20,140,0,0,0
Defender Lance III,5,437,190,Blast,240,0,0,None,None,None,None,None,300,50,50,50,80,70,0,0
Defender Lance IV,6,483,210,Blast,270,0,0,None,None,None,None,None,300,30,50,50,80,90,0,0
Defender Lance V,7,506,220,Blast,300,0,0,None,None,None,None,None,350,90,30,30,110,40,50,0
Hidden Hastur I,10,483,210,Hidden Poison,390,15,0,None,None,None,None,None,350,80,80,30,30,80,50,0
Hidden Hastur II,10,529,230,Hidden Poison,570,20,0,None,1,None,None,None,350,140,20,20,70,40,30,30
Svarog Blazer,10,506,220,Fire,300,0,0,None,1,None,None,None,350,90,30,30,110,40,50,0
Svarog Blazer+,10,552,240,Fire,390,0,0,None,1,None,None,None,350,120,30,30,60,50,60,0
Glavenus Granat,11,598,260,Fire,480,0,0,None,1,None,None,None,350,110,30,30,60,50,70,0
Laguna Pike I,9,506,220,Water,510,0,0,None,2,1,None,None,350,70,80,30,30,80,60,0
Laguna Pike II,10,552,240,Water,540,0,0,None,2,1,None,None,350,120,30,30,60,50,60,0
Iceborer,11,598,260,Ice,330,0,0,None,4,None,None,None,350,150,30,30,60,50,30,0
Knightly Ectis,12,621,270,Ice,360,0,0,None,4,None,None,None,350,140,30,30,60,50,40,0
Tiger Stinger,10,575,250,Hidden Blast,270,-20,0,None,None,None,None,None,350,70,30,30,110,40,70,0
Tiger Stinger+,10,621,270,Hidden Blast,300,-20,0,None,None,None,None,None,350,60,30,30,110,40,80,0
Tigrex Lance,11,644,280,Hidden Blast,330,-20,0,None,None,None,None,None,350,50,30,30,110,40,90,0
Nyx Halberd I,9,506,220,Sleep,360,0,0,None,2,None,None,None,350,70,80,30,30,80,60,0
Nyx Halberd II,10,552,240,Sleep,450,0,0,None,2,None,None,None,350,60,80,30,30,80,70,0
Dios Halberd I,10,552,240,Blast,420,0,0,None,None,None,None,None,350,100,100,40,50,60,0,0
Dios Halberd II,10,575,250,Blast,480,0,0,None,1,None,None,None,350,100,30,30,110,40,40,0
Unblinking Gatekeeper,12,644,280,Hidden Dragon,510,0,+30,High,1,1,None,None,350,170,30,30,60,50,10,0
Demon Lance,11,667,290,Thunder,90,-15,0,None,4,None,None,None,350,110,100,40,50,50,0,0
Great Demon Lance,12,713,310,Thunder,120,-15,0,None,4,None,None,None,350,100,100,40,50,60,0,0
Incessant Raven,10,598,260,Poison,210,20,0,None,3,None,None,None,350,150,30,90,30,30,20,0
Incessant Wolf,11,621,270,Poison,240,25,0,None,3,None,None,None,350,150,30,90,30,30,20,0
Tusk Lance,10,506,220,Ice,330,25,0,None,None,None,None,None,350,100,30,30,110,40,40,0
Tusk Lance+,10,552,240,Ice,360,25,0,None,None,None,None,None,350,100,30,30,110,40,40,0
Sabertooth,11,575,250,Ice,420,30,0,None,None,None,None,None,350,100,30,30,110,40,40,0
Sulfurteinn Keton,10,621,270,Hidden Paralysis,300,0,0,None,4,None,None,None,350,150,100,30,30,40,0,0
The Solvent Spindle,11,667,290,Hidden Paralysis,330,0,0,None,4,None,None,None,350,50,50,110,90,50,0,0
Death Garon Lance,10,529,230,Dragon,300,25,0,High,1,None,None,None,400,110,80,30,30,80,70,0
Accursed Stinger,11,644,280,Hidden Sleep,300,-30,0,None,None,None,None,None,350,100,20,30,90,90,20,0
Backbite,12,667,290,Hidden Sleep,330,-30,0,None,None,None,None,None,350,90,20,30,90,90,30,0
Guild Palace Tower,10,575,250,Hidden Water,450,10,+30,None,3,None,None,None,350,150,30,30,60,50,30,0
Royal Grace Pike,12,621,270,Hidden Water,540,15,+30,None,3,None,None,None,350,140,30,30,60,50,40,0
Gold Water Defender,6,345,150,Hidden Water,210,0,+20,None,None,None,None,None,350,100,50,50,80,70,0,0
Gold Thunder Defender,6,299,130,Hidden Thunder,270,20,+20,None,None,None,None,None,350,110,20,20,140,60,0,0
Gold Sleep Defender,6,322,140,Hidden Sleep,210,10,+20,None,None,None,None,None,350,90,60,60,100,40,0,0
Thief Gold Defender,6,322,140,Sleep,90,10,+20,None,None,None,None,None,350,90,60,60,100,40,0,0
Spew Gold Defender,6,345,150,Poison,270,0,+20,None,1,None,None,None,350,100,120,40,50,40,0,0
Mud Gold Defender,6,345,150,Paralysis,120,-20,+25,None,None,None,None,None,350,100,120,40,50,40,0,0
Lurk Gold Defender,6,299,130,Hidden Blast,120,10,+20,None,None,None,None,None,350,110,30,60,80,40,30,0
Stream Gold Defender,6,299,130,Ice,150,0,+20,None,None,None,None,None,350,230,20,20,50,10,20,0
Claw Gold Defender,6,299,130,Hidden Fire,60,30,+20,None,None,None,None,None,350,60,120,80,60,30,0,0
Decay Gold Defender,6,322,140,Dragon,120,0,+20,Average,None,None,None,None,350,250,20,20,20,30,10,0
King Gold Defender,6,299,130,Fire,150,0,+20,None,None,None,None,None,350,230,20,20,50,10,20,0
Crusher Gold Defender,6,345,150,Blast,90,10,+20,None,None,None,None,None,350,90,60,80,80,40,0,0
"Taroth Crest ""Thief""",7,391,170,Sleep,210,10,+20,None,None,None,None,None,350,90,60,60,100,40,0,0
"Taroth Crest ""Spew""",7,414,180,Poison,540,0,+20,None,1,None,None,None,350,100,120,40,50,40,0,0
"Taroth Crest ""Mud""",7,437,190,Paralysis,240,-20,+25,None,None,None,None,None,350,100,120,40,50,40,0,0
"Taroth Crest ""Lurk""",7,368,160,Hidden Blast,270,10,+20,None,None,None,None,None,350,110,30,60,80,40,30,0
"Taroth Crest ""Stream""",7,368,160,Ice,300,0,+20,None,None,None,None,None,350,230,20,20,50,10,20,0
"Taroth Crest ""Claw""",7,437,190,Hidden Fire,90,30,+20,None,None,None,None,None,350,60,120,80,60,30,0,0
"Taroth Crest ""Decay""",7,391,170,Dragon,270,0,+20,Average,None,None,None,None,350,250,20,20,20,30,10,0
"Taroth Crest ""King""",7,368,160,Fire,300,0,+20,None,None,None,None,None,350,230,20,20,50,10,20,0
"Taroth Crest ""Crusher""",7,391,170,Blast,210,10,+20,None,None,None,None,None,350,90,60,80,80,40,0,0
"Taroth Crest ""Water""",8,437,190,Hidden Water,420,0,+20,None,3,None,None,None,350,70,50,60,120,50,0,0
"Taroth Crest ""Thunder""",8,368,160,Hidden Thunder,600,20,+20,None,3,None,None,None,350,110,20,20,140,60,0,0
"Taroth Crest ""Sleep""",8,414,180,Hidden Sleep,450,10,+20,None,3,None,None,None,350,90,60,60,100,40,0,0
"Taroth Crest ""Poison""",8,460,200,Hidden Poison,630,-10,+20,None,3,None,None,None,350,100,50,50,80,70,0,0
"Kjárr Crest ""Stream""",8,391,170,Ice,390,10,0,None,1,None,None,Critical Element,350,210,20,20,50,20,30,0
"Kjárr Crest ""Decay""",8,391,170,Dragon,330,10,0,Average,None,None,None,Critical Element,350,230,20,20,20,30,30,0
"Kjárr Crest ""King""",8,391,170,Fire,390,10,0,None,1,None,None,Critical Element,350,210,20,20,50,20,30,0
"Kjárr Crest ""Crusher""",8,414,180,Blast,270,15,0,None,1,None,None,Critical Status,350,80,60,60,100,50,0,0
"Kjárr Crest ""Water""",8,437,190,Water,300,10,0,None,None,None,None,Critical Element,350,50,50,60,120,70,0,0
"Kjárr Crest ""Thunder""",8,414,180,Thunder,420,15,0,None,None,None,None,Critical Element,350,110,20,20,120,80,0,0
"Kjárr Crest ""Paralysis""",8,414,180,Paralysis,210,10,0,None,None,None,None,Critical Status,350,80,50,60,120,40,0,0
