Order,Name,Rarity,Attack,True Attack,Element,Element Stat,Affinity(%),Defense,Elderseal,Gem Slot 1(Lvl),Gem Slot 2(Lvl),Gem Slot 3(Lvl),Skill,Max Sharpness,Red Sharpness,Orange Sharpness,Yellow Sharpness,Green Sharpness,Blue Sharpness,White Sharpness,Purple Sharpness
66,Baan Strike II,6,884,170,Sleep,240,0,+20,None,None,None,None,None,300,100,100,40,40,20,0,0
67,Baan Strike III,6,988,190,Sleep,270,0,+20,None,None,None,None,None,350,110,120,40,50,30,0,0
68,Baan Gavel I,9,1196,230,Sleep,300,0,+35,None,None,None,None,None,350,110,30,30,110,40,30,0
69,Baan Gavel II,10,1300,250,Sleep,330,0,+35,None,None,None,None,None,350,110,30,30,110,40,30,0
70,Hazak Vlafos,7,988,190,Dragon,210,0,0,Average,2,None,None,None,350,140,110,40,40,20,0,0
71,Pandemoniums Root,8,1040,200,Dragon,270,0,0,Average,2,None,None,None,350,200,70,20,20,40,0,0
72,Pandemoniums Wrath,11,1248,240,Dragon,420,0,0,Average,2,2,None,None,350,80,80,30,30,80,50,0
73,Pandemonium Unleashed,12,1352,260,Dragon,510,0,0,Average,2,2,None,None,350,70,80,30,30,80,60,0
74,Red Bludgeon,10,1144,220,Fire,270,15,0,None,1,None,None,None,350,100,100,40,50,60,0,0
75,Huracan Hammer,10,1248,240,Fire,300,20,0,None,1,None,None,None,350,110,30,30,110,40,30,0
76,Leonid Starcrusher,12,1404,270,Fire,420,20,0,None,2,None,None,None,350,130,30,30,60,50,50,0
77,Diablos Sledge I,4,884,170,None,0,-25,+10,None,None,None,None,None,250,90,70,30,60,0,0,0
78,Diablos Sledge II,5,988,190,Hidden Ice,150,-25,+10,None,1,None,None,None,300,130,70,30,70,0,0,0
79,Diablos Shatterer I,6,1092,210,Hidden Ice,150,-25,+15,None,2,None,None,None,300,120,70,30,80,0,0,0
80,Diablos Shatterer II,7,1196,230,Hidden Ice,150,-25,+15,None,2,None,None,None,350,100,50,60,120,20,0,0
81,Diablos Shatterer III,10,1352,260,Hidden Ice,210,-25,+35,None,2,None,None,None,350,90,100,40,50,70,0,0
82,Chaos Shatterer,10,1508,290,Hidden Ice,240,-25,+35,None,2,2,None,None,350,70,50,90,70,70,0,0
83,Brazenbreak I,6,988,190,Fire,120,0,+30,None,3,None,None,None,300,110,100,40,40,10,0,0
84,Brazenbreak II,7,1092,210,Fire,120,0,+30,None,3,None,None,None,350,120,120,40,50,20,0,0
85,Uragaan Hammer I,10,1300,250,Fire,210,0,+35,None,4,None,None,None,350,110,50,50,80,60,0,0
86,Uragaan Hammer II,10,1508,290,Fire,240,0,+35,None,4,None,None,None,350,100,50,50,80,70,0,0
87,Icesteel Hammer,7,988,190,Ice,120,10,0,None,2,None,None,None,350,110,60,80,80,20,0,0
88,Daoras Colossus,8,1040,200,Ice,150,10,0,None,2,None,None,None,350,90,60,80,80,40,0,0
89,Daoras Hyperborea,11,1352,260,Ice,210,15,0,None,2,None,None,None,350,130,30,30,60,50,50,0
90,Xeno Maphagarna,8,884,170,Dragon,180,15,0,Low,3,3,None,None,350,130,30,60,80,40,10,0
91,Magda Floga,5,832,160,Blast,330,-20,+20,None,2,None,None,None,300,110,50,80,60,0,0,0
92,Ragefire Magda Floga,8,1144,220,Blast,420,-20,+20,None,2,None,None,None,350,190,30,60,70,0,0,0
93,Magda Floga Reforged,11,1456,280,Blast,450,-20,+45,None,2,None,None,None,350,140,40,40,70,60,0,0
94,Dragonbone Basher I,3,520,100,Dragon,300,0,0,Low,None,None,None,None,250,110,70,30,40,0,0,0
95,Dragonbone Basher II,4,572,110,Dragon,360,0,0,Low,None,None,None,None,250,70,70,30,80,0,0,0
96,Dragonbone Basher III,6,832,160,Dragon,420,0,0,Low,1,None,None,None,350,120,110,40,40,40,0,0
97,Dragonseal Basher I,10,1092,210,Dragon,540,0,0,Average,1,1,None,None,350,130,100,30,30,60,0,0
98,Dragonseal Hammer II,11,1248,240,Dragon,660,0,0,Average,1,1,None,None,350,130,100,30,30,60,0,0
99,Blacksteel Hammer I,5,520,100,Dragon,120,0,0,Low,None,None,None,None,300,150,110,40,0,0,0,0
100,Blacksteel Hammer II,6,572,110,Dragon,150,0,0,Low,None,None,None,None,300,140,110,40,10,0,0,0
101,Thunder Hammer I,3,676,130,Thunder,180,0,0,None,None,None,None,None,250,80,50,80,40,0,0,0
102,Thunder Hammer II,4,780,150,Thunder,210,0,0,None,None,None,None,None,250,70,50,80,50,0,0,0
103,Lightning Bash I,5,832,160,Thunder,240,0,0,None,2,None,None,None,300,110,50,80,60,0,0,0
104,Lightning Bash II,6,884,170,Thunder,270,0,0,None,2,None,None,None,300,100,100,40,40,20,0,0
105,Lightning Bash III,6,988,190,Thunder,300,0,0,None,2,None,None,None,350,150,100,30,30,40,0,0
106,Lightning Bash IV,9,1144,220,Thunder,330,0,0,None,2,None,None,None,350,100,100,40,50,60,0,0
107,Usurpers Thunder,10,1248,240,Thunder,390,0,0,None,2,None,None,None,350,90,80,30,30,80,40,0
108,Usurpers Thunder+,11,1300,250,Thunder,420,0,0,None,2,None,None,None,350,130,30,90,30,30,40,0
109,Despots Crackle,12,1352,260,Thunder,450,0,0,None,2,None,None,None,350,120,30,90,30,30,50,0
110,Aqua Hammer I,2,572,110,Water,90,0,0,None,None,None,None,None,200,80,70,30,20,0,0,0
111,Aqua Hammer II,3,624,120,Water,120,0,0,None,None,None,None,None,250,90,50,80,30,0,0,0
112,Aqua Hammer III,4,676,130,Water,150,0,0,None,None,None,None,None,250,80,50,80,40,0,0,0
113,Water Basher I,5,780,150,Water,180,0,0,None,2,None,None,None,300,110,60,80,50,0,0,0
114,Water Basher II,6,832,160,Water,210,0,0,None,2,None,None,None,300,100,50,50,80,20,0,0
115,Water Basher III,6,936,180,Water,240,0,0,None,2,None,None,None,350,90,60,80,80,40,0,0
116,Water Basher IV,9,1092,210,Water,390,0,0,None,2,None,None,None,350,110,80,30,30,80,20,0
117,Aqua Flora,9,1144,220,Water,450,0,0,None,2,1,None,None,350,90,80,30,30,80,40,0
118,Aqua Flora+,10,1248,240,Water,540,0,0,None,2,1,None,None,350,130,30,30,60,50,50,0
119,Aqua Florescence,11,1300,250,Water,600,0,0,None,2,1,None,None,350,120,30,30,60,50,60,0
120,Frozen Core,4,624,120,Ice,270,0,0,None,None,None,None,None,250,50,50,80,70,0,0,0
121,Jail Hammer,6,832,160,Paralysis,180,0,+20,None,2,None,None,None,350,120,120,40,50,20,0,0
122,Frozen Core+,6,832,160,Ice,390,0,0,None,2,None,None,None,300,90,50,50,80,30,0,0
123,Cocytus,7,936,180,Ice,450,0,0,None,3,None,None,None,350,110,120,40,50,30,0,0
124,Binder Mace,8,936,180,Paralysis,210,0,+20,None,3,None,None,None,350,160,100,30,30,30,0,0
125,Cocytus+,10,1196,230,Ice,480,0,0,None,3,None,None,None,350,70,80,30,30,80,60,0
126,Pykrete Punisher,11,1300,250,Ice,510,0,0,None,3,None,None,None,350,60,80,30,30,80,70,0
127,Binding Coffin,11,1352,260,Paralysis,240,0,+40,None,4,None,None,None,350,60,30,30,110,40,80,0
128,Devils Due,6,1092,210,Dragon,150,-30,0,High,None,None,None,None,350,60,120,80,60,30,0,0
129,Devils Crush,7,1196,230,Dragon,210,-30,0,High,None,None,None,None,350,50,120,80,60,40,0,0
130,Consummate Hammer,12,1456,280,Dragon,360,-30,0,High,None,None,None,None,350,160,30,30,60,50,20,0
131,Empress Mace,7,936,180,Blast,150,0,0,None,2,1,None,None,350,110,30,60,80,40,30,0
132,Empress Mace Blaze,8,936,180,Blast,180,20,0,None,2,1,None,Guts,350,110,30,60,80,40,30,0
133,Soulfire Heel Blaze,12,1300,250,Blast,270,20,0,None,2,1,None,Guts,350,120,30,90,30,30,50,0
134,Empress Mace Ruin,8,988,190,Blast,150,0,0,None,2,2,None,Hasten Recovery,350,110,30,60,80,40,30,0
135,Soulfire Heel Ruin,12,1404,270,Blast,210,0,0,None,2,2,None,Hasten Recovery,350,120,30,90,30,30,50,0
136,Empress Mace Styx,8,936,180,Blast,240,10,0,None,3,3,None,Razor Sharp/Spare Shot,350,110,30,60,80,40,30,0
137,Soulfire Heel Styx,12,1300,250,Blast,330,10,0,None,3,3,None,Razor Sharp/Spare Shot,350,120,30,90,30,30,50,0
138,Bristly Pincushion,3,676,130,Poison,150,0,0,None,None,None,None,None,250,60,50,80,60,0,0,0
139,Bristly Grudge,7,1040,200,Poison,270,0,0,None,None,None,None,None,350,110,50,50,80,60,0,0
140,Bristly Inferno,11,1352,260,Poison,360,0,0,None,None,None,None,None,350,60,30,30,110,40,80,0
141,Defender Warhammer I,1,676,130,Blast,180,0,0,None,None,None,None,None,200,30,60,20,90,0,0,0
142,Defender Warhammer II,3,884,170,Blast,210,0,0,None,None,None,None,None,250,30,60,20,140,0,0,0
143,Defender Warhammer III,5,988,190,Blast,240,0,0,None,None,None,None,None,300,50,50,50,80,70,0,0
144,Defender Warhammer IV,6,1092,210,Blast,270,0,0,None,None,None,None,None,300,30,50,50,80,90,0,0
145,Defender Warhammer V,7,1144,220,Blast,300,0,0,None,None,None,None,None,350,90,30,30,110,40,50,0
146,Mammoth Hoof I,9,1248,240,Hidden Ice,330,0,0,None,4,None,None,None,350,90,100,40,40,80,0,0
147,Mammoth Hoof II,10,1456,280,Hidden Ice,360,0,0,None,4,None,None,None,350,90,100,40,40,80,0,0
148,Hidden Breaker,10,1092,210,Hidden Poison,330,10,0,None,None,None,None,None,350,80,80,30,30,80,50,0
149,Hidden Breaker+,10,1144,220,Hidden Poison,390,15,0,None,None,None,None,None,350,150,20,20,70,40,30,20
150,Night Eternal,11,1248,240,Hidden Poison,450,20,0,None,None,None,None,None,350,140,20,20,70,40,30,30
151,Scorching Isshata,10,1144,220,Fire,240,0,0,None,1,None,None,None,350,100,30,30,110,40,40,0
152,Scorching Isshata+,10,1248,240,Fire,270,0,0,None,1,None,None,None,350,120,30,30,60,50,60,0
153,Glavenuss Uruga,11,1352,260,Fire,330,0,0,None,1,None,None,None,350,120,30,30,60,50,60,0
154,Iceshaker,11,1352,260,Ice,300,0,0,None,4,None,None,None,350,150,30,30,60,50,30,0
155,Victorious Northlein,12,1404,270,Ice,330,0,0,None,4,None,None,None,350,140,30,30,60,50,40,0
156,Striped Striker,10,1300,250,Hidden Blast,270,-20,0,None,None,None,None,None,350,80,30,30,110,40,60,0
157,Striped Striker+,10,1404,270,Hidden Blast,300,-20,0,None,None,None,None,None,350,70,30,30,110,40,70,0
158,Tigrex Hammer,11,1456,280,Hidden Blast,330,-20,0,None,None,None,None,None,350,60,30,30,110,40,80,0
159,Grinding Fulgur I,10,1248,240,Thunder,300,10,0,None,None,None,None,None,350,80,100,40,50,80,0,0
160,Grinding Fulgur II,10,1300,250,Thunder,330,20,0,None,1,None,None,None,350,80,100,40,50,80,0,0
161,Nyx Hammer I,9,1144,220,Sleep,320,0,0,None,2,None,None,None,350,100,80,30,30,80,30,0
162,Nyx Hammer II,10,1248,240,Sleep,450,0,0,None,2,None,None,None,350,70,80,30,30,80,60,0
163,Dios Tailhammer,10,1248,240,Blast,300,0,0,None,None,None,None,None,350,100,100,40,50,60,0,0
164,Brachy Tailhammer,11,1352,260,Blast,510,0,0,None,1,None,None,None,350,90,30,30,110,40,50,0
165,Dawning Tranquility,12,1456,280,Hidden Dragon,480,0,+30,High,1,1,None,None,350,170,30,30,60,50,10,0
166,Mane Malice,11,1508,290,Thunder,90,-15,0,None,4,None,None,None,350,110,100,40,50,50,0,0
167,Mane Malice Rajang,12,1612,310,Thunder,120,-15,0,None,4,None,None,None,350,100,100,40,50,60,0,0
168,Blackwing Deathblow I,10,1352,260,Poison,210,20,0,None,3,None,None,None,350,140,30,90,30,30,30,0
169,Blackwing Deathblow II,11,1404,270,Poison,240,25,0,None,3,None,None,None,350,140,30,90,30,30,30,0
170,Glacial Bash I,10,1144,220,Ice,330,20,0,None,None,None,None,None,350,110,30,30,110,40,30,0
171,Glacial Bash II,10,1248,240,Ice,360,25,0,None,1,None,None,None,350,110,30,30,110,40,30,0
172,Sulfurteinn Alcan,10,1404,270,Hidden Paralysis,300,0,0,None,4,None,None,None,350,160,100,30,30,30,0,0
173,The Grinding Mallet,11,1508,290,Hidden Paralysis,330,0,0,None,4,None,None,None,350,60,50,110,90,40,0,0
174,Well-done Hammer,10,1404,270,Fire,150,0,+30,None,None,None,None,None,400,70,50,50,80,150,0,0
175,Juicy Well-done Hammer,11,1612,310,Fire,210,0,+30,None,None,None,None,None,400,30,50,50,80,190,0,0
176,Space Lord! Super-8,12,1248,240,Water,640,0,+40,None,None,None,None,None,350,50,80,30,30,80,80,0
177,Guild Palace Mace,10,1300,250,Hidden Water,420,10,+30,None,3,None,None,None,350,150,30,30,60,50,30,0
178,Royal Cross Mace,12,1404,270,Hidden Water,510,15,+30,None,3,None,None,None,350,150,30,30,60,50,30,0
179,Gold Water Bludgeon,6,832,160,Hidden Water,180,0,+20,None,None,None,None,None,350,90,60,80,80,40,0,0
180,Gold Ice Bludgeon,6,832,160,Hidden Ice,210,0,+20,None,None,None,None,None,350,150,100,30,30,40,0,0
181,Gold Thunder Bludgeon,6,832,160,Hidden Thunder,240,0,+30,None,None,None,None,None,350,150,100,30,30,40,0,0
182,Thief Gold Bludgeon,6,884,170,Hidden Sleep,120,35,+20,None,None,None,None,None,350,120,110,40,40,40,0,0
183,Spew Gold Bludgeon,6,780,150,Poison,270,0,+20,None,None,None,None,None,350,100,120,40,50,40,0,0
184,Mud Gold Bludgeon,6,936,180,Hidden Paralysis,180,-10,+25,None,1,None,None,None,350,110,120,40,50,30,0,0
185,Rage Gold Bludgeon,6,884,170,Fire,210,-20,+20,None,None,None,None,None,350,90,120,40,50,50,0,0
186,Numb Gold Bludgeon,6,728,140,Paralysis,180,30,+20,None,None,None,None,None,350,90,60,60,100,40,0,0
187,Tar Gold Bludgeon,6,780,150,Sleep,120,10,+30,None,None,None,None,None,350,110,120,40,50,30,0,0
188,Decay Gold Bludgeon,6,936,180,Dragon,120,0,+20,Average,None,None,None,None,350,70,120,80,60,20,0,0
189,Horn Gold Bludgeon,6,988,190,Ice,60,-25,+20,None,None,None,None,None,350,90,50,60,120,30,0,0
190,Gyre Gold Bludgeon,6,936,180,Fire,60,0,+30,None,None,None,None,None,350,90,120,40,50,50,0,0
191,Taroth Hammer Thief,7,884,170,Hidden Sleep,360,35,+20,None,None,None,None,None,350,120,110,40,40,40,0,0
192,Taroth Hammer Spew,7,988,190,Poison,540,0,+20,None,None,None,None,None,350,100,120,40,50,40,0,0
193,Taroth Hammer Mud,7,1092,210,Hidden Paralysis,390,-10,+25,None,1,None,None,None,350,110,120,40,50,30,0,0
194,Taroth Hammer Rage,7,1040,200,Fire,450,-20,+20,None,None,None,None,None,350,90,120,40,50,50,0,0
195,Taroth Hammer Numb,7,832,160,Paralysis,390,30,+20,None,None,None,None,None,350,90,60,60,100,40,0,0
196,Taroth Hammer Tar,7,988,190,Sleep,270,10,+30,None,None,None,None,None,350,110,120,40,50,30,0,0
197,Taroth Hammer Decay,7,1040,200,Dragon,270,0,+20,Average,None,None,None,None,350,70,120,80,60,20,0,0
198,Taroth Hammer Horn,7,1144,220,Ice,90,-25,+20,None,None,None,None,None,350,90,50,60,120,30,0,0
199,Taroth Hammer Gyre,7,1092,210,Fire,120,0,+30,None,None,None,None,None,350,90,120,40,50,50,0,0
200,Taroth Hammer Water,8,988,190,Hidden Water,360,0,+20,None,3,None,None,None,350,80,50,60,120,40,0,0
201,Taroth Hammer Ice,8,988,190,Hidden Ice,510,0,+20,None,3,None,None,None,350,190,70,20,20,50,0,0
202,Taroth Hammer Thunder,8,988,190,Hidden Thunder,480,0,+30,None,3,None,None,None,350,150,100,30,30,40,0,0
203,Taroth Hammer Sleep,8,1040,200,Hidden Sleep,300,0,+30,None,3,None,None,None,350,220,20,20,20,30,40,0
204,Kjarr Hammer Numb,8,936,180,Paralysis,300,20,0,None,1,None,None,Critical Status,350,80,60,60,100,50,0,0
205,Kjarr Hammer Decay,8,1040,200,Dragon,330,10,0,Average,1,None,None,Critical Element,350,40,120,80,60,50,0,0
206,Kjarr Hammer Gyre,8,1040,200,Fire,360,10,+15,None,1,None,None,Critical Element,350,80,100,40,40,90,0,0
207,Kjarr Hammer Water,8,1040,200,Water,390,10,0,None,None,None,None,Critical Element,350,60,50,60,120,60,0,0
208,Kjarr Hammer Ice,8,988,190,Ice,480,10,0,None,None,None,None,Critical Element,350,170,70,20,20,70,0,0
209,Kjarr Hammer Thunder,8,988,190,Thunder,450,15,0,None,None,None,None,Critical Element,350,130,100,30,30,60,0,0
210,Kjarr Hammer Blast,8,1118,215,Blast,270,15,0,None,None,None,None,Critical Status,350,110,50,50,80,60,0,0
