<<<<<<< HEAD
Name,Rarity,Attack,True Attack,Element,Element Stat,Affinity(%),Defense,Elderseal,Gem Slot 1(Lvl),Gem Slot 2(Lvl),Gem Slot 3(Lvl),Skill,Max Sharpness,Red Sharpness,Orange Sharpness,Yellow Sharpness,Green Sharpness,Blue Sharpness,White Sharpness,Purple Sharpness
Radobaan Os III,11,392,280,Hidden Paralysis,360,0,+35,None,3,None,None,None,350,70,100,40,50,90,0,0
Jagras Edge I,2,168,120,None,0,0,0,None,None,None,None,None,200,70,50,50,30,0,0,0
Jagras Edge II,3,196,140,None,0,0,0,None,None,None,None,None,250,100,70,30,50,0,0,0
Jagras Edge III,4,210,150,None,0,0,0,None,None,None,None,None,250,80,70,30,70,0,0,0
Jagras Garotte I,5,238,170,Hidden Water,300,0,0,None,2,1,None,None,300,100,100,40,40,20,0,0
Jagras Garotte II,6,252,180,Hidden Water,330,0,0,None,2,2,None,None,300,90,100,40,40,30,0,0
Jagras Garotte III,6,266,190,Hidden Water,360,0,0,None,3,2,None,None,350,90,120,40,50,50,0,0
Saber's Gullet I,9,322,230,Hidden Water,390,0,0,None,3,3,None,None,350,80,100,40,40,90,0,0
Saber's Gullet II,10,364,260,Hidden Water,450,0,0,None,3,3,None,None,350,100,80,30,30,80,30,0
Blooming Knife I,2,154,110,Poison,210,0,0,None,None,None,None,None,200,60,70,30,40,0,0,0
Blooming Knife II,3,182,130,Poison,240,0,0,None,None,None,None,None,250,60,50,80,60,0,0,0
Blooming Knife III,4,196,140,Poison,270,0,0,None,None,None,None,None,250,40,50,80,80,0,0,0
Datura Blossom I,5,210,150,Poison,330,0,0,None,2,1,None,None,300,90,50,50,80,30,0,0
Datura Blossom II,6,224,160,Poison,360,0,0,None,2,1,None,None,300,80,50,50,80,40,0,0
Datura Blossom III,6,238,170,Poison,390,0,0,None,2,1,None,None,350,90,120,40,50,50,0,0
Datura Florescence I,9,280,200,Poison,420,0,0,None,2,1,None,None,350,60,80,30,30,80,70,0
Datura Florescence II,10,336,240,Poison,450,0,0,None,2,1,None,None,350,110,30,30,60,50,70,0
Carapace Edge I,2,182,130,None,0,-10,+10,None,None,None,None,None,200,80,50,50,20,0,0,0
Carapace Edge II,3,196,140,None,0,-10,+10,None,None,None,None,None,250,120,70,30,30,0,0,0
Carapace Edge III,4,224,160,None,0,-10,+10,None,None,None,None,None,250,110,70,30,40,0,0,0
Barroth Club I,5,252,180,Hidden Paralysis,120,-10,+15,None,1,None,None,None,300,140,70,30,60,0,0,0
Barroth Club II,6,266,190,Hidden Paralysis,150,-10,+15,None,1,1,None,None,300,110,100,40,40,10,0,0
Barroth Club III,6,294,210,Hidden Paralysis,180,-10,+15,None,2,1,None,None,350,100,120,40,50,40,0,0
Barroth Slicer I,9,336,240,Hidden Paralysis,240,-10,+25,None,2,2,None,None,350,90,100,40,50,70,0,0
Barroth Slicer II,10,378,270,Hidden Paralysis,270,-10,+25,None,2,2,None,None,350,90,100,40,50,70,0,0
Blazing Edge I,3,196,140,Fire,150,-20,0,None,None,None,None,None,250,120,70,30,30,0,0,0
Blazing Edge II,4,224,160,Fire,180,-20,0,None,None,None,None,None,250,100,70,30,50,0,0,0
Flammensucher,5,266,190,Fire,210,-20,0,None,None,None,None,None,300,100,100,40,40,20,0,0
Gnashing Flammensucher,7,294,210,Fire,240,-20,0,None,None,None,None,None,350,100,120,40,50,40,0,0
Gnashing Flammensucher+,9,322,230,Fire,330,-20,0,None,None,None,None,None,350,70,100,40,50,90,0,0
Lohensieger,10,378,270,Fire,450,-20,0,None,None,None,None,None,350,70,100,40,50,90,0,0
Nergal Jack,7,280,200,Dragon,120,0,0,High,1,None,None,None,400,110,120,40,50,80,0,0
Eradication Vanguard,8,294,210,Dragon,150,0,0,High,1,None,None,None,400,90,120,40,50,100,0,0
Ruinous Eradication,12,406,290,Dragon,180,0,0,High,1,None,None,None,400,70,30,30,110,40,120,0
Princess Rapier,3,168,120,Poison,150,10,0,None,None,None,None,None,250,60,50,80,60,0,0,0
Queen Rapier,5,210,150,Poison,180,10,0,None,1,None,None,None,300,110,50,50,80,10,0,0
Girros Knife I,3,168,120,Paralysis,120,10,0,None,None,None,None,None,250,70,50,80,50,0,0,0
Girros Knife II,4,182,130,Paralysis,150,10,0,None,None,None,None,None,250,50,50,80,70,0,0,0
Malady's Tabar I,5,196,140,Paralysis,180,20,0,None,None,None,None,None,300,100,50,50,80,20,0,0
Malady's Tabar II,6,210,150,Paralysis,210,20,0,None,None,None,None,None,300,90,50,50,80,30,0,0
Malady's Tabar III,6,224,160,Paralysis,240,20,0,None,None,None,None,None,350,80,50,60,120,40,0,0
Naaga Seax I,9,280,200,Paralysis,270,20,0,None,None,None,None,None,350,90,100,40,50,70,0,0
Naaga Seax II,10,336,240,Paralysis,300,20,0,None,None,None,None,None,350,90,100,40,50,70,0,0
Lumu Knife I,3,168,120,None,0,0,0,None,None,None,None,None,250,70,50,80,50,0,0,0
Lumu Knife II,4,182,130,None,0,0,0,None,None,None,None,None,250,60,50,80,60,0,0,0
Lumu Tabar I,5,210,150,Hidden Blast,270,0,0,None,1,1,None,None,300,100,50,50,80,20,0,0
Lumu Tabar II,6,224,160,Hidden Blast,300,0,0,None,2,1,None,None,300,90,50,50,80,30,0,0
Lumu Tabar III,6,238,170,Hidden Blast,330,0,0,None,3,1,None,None,350,80,50,60,120,40,0,0
Lumu Nightmare I,9,336,240,Hidden Blast,360,0,0,None,3,1,None,None,350,100,30,30,110,40,40,0
Lumu Nightmare II,10,350,250,Hidden Blast,480,0,0,None,3,1,None,None,350,140,30,30,60,50,40,0
Glacial Grace I,4,182,130,Ice,210,0,0,None,None,None,None,None,250,60,50,80,60,0,0,0
Glacial Grace II,5,196,140,Ice,240,0,0,None,1,None,None,None,300,100,50,50,80,20,0,0
Rimespire,6,210,150,Ice,300,0,0,None,1,None,None,None,300,80,50,50,80,40,0,0
Legia Rimespire,8,224,160,Ice,330,0,0,None,1,None,None,None,350,120,30,60,80,40,20,0
Legia Rimespire+,10,294,210,Ice,360,0,0,None,1,None,None,None,350,80,80,30,30,80,50,0
Hoarcry Rimespire,10,308,220,Ice,450,0,0,None,1,None,None,None,350,70,80,30,30,80,60,0
Nephilim Glacia,11,336,240,Ice,480,0,0,None,1,None,None,None,350,50,20,30,90,90,70,0
Spiked Edge I,3,182,130,Sleep,120,0,+15,None,None,None,None,None,250,120,70,30,30,0,0,0
Spiked Edge II,4,196,140,Sleep,120,0,+15,None,None,None,None,None,250,110,70,30,40,0,0,0
Baan Claw I,5,238,170,Sleep,150,0,+20,None,None,None,None,None,300,140,70,30,60,0,0,0
Baan Claw II,6,252,180,Sleep,180,0,+20,None,None,None,None,None,300,100,100,40,40,20,0,0
Baan Claw III,6,266,190,Sleep,210,0,+20,None,None,None,None,None,350,100,120,40,50,40,0,0
Radobaan Osseus I,9,322,230,Sleep,240,0,+35,None,None,None,None,None,350,110,100,40,50,50,0,0
Radobaan Osseus II,10,350,250,Sleep,270,0,+35,None,None,None,None,None,350,100,30,30,110,40,40,0
Flame Knife I,4,182,130,Fire,120,10,0,None,None,None,None,None,250,60,50,80,60,0,0,0
Flame Knife II,5,196,140,Fire,120,10,0,None,1,None,None,None,300,100,50,80,70,0,0,0
Heat Edge,6,224,160,Fire,150,20,0,None,1,None,None,None,300,90,50,50,80,30,0,0
Corona,7,266,190,Fire,180,20,0,None,1,None,None,None,350,90,60,60,100,40,0,0
Corona+,10,308,220,Fire,210,20,0,None,1,None,None,None,350,100,100,40,50,60,0,0
Blue Corona,10,336,240,Fire,240,20,0,None,1,None,None,None,350,100,30,30,110,40,40,0
Platinum Dawn,12,378,270,Fire,390,20,0,None,2,None,None,None,350,120,30,30,60,50,60,0
Fulminator,4,154,110,Thunder,270,0,0,None,None,None,None,None,250,40,50,80,80,0,0,0
Thunderbolt Sword I,6,210,150,Thunder,300,0,0,None,None,None,None,None,350,110,20,20,150,50,0,0
Thunderbolt Sword II,7,224,160,Thunder,360,0,0,None,None,None,None,None,350,110,20,20,130,70,0,0
Ephemeral Fulminator,11,336,240,Thunder,510,0,0,None,None,None,None,None,350,50,80,30,30,80,80,0
Queen Rose,6,238,170,Poison,210,10,0,None,1,None,None,None,300,100,50,50,80,20,0,0
Royal Rose,7,266,190,Poison,240,10,0,None,1,None,None,None,350,90,60,60,100,40,0,0
Royal Rose+,9,308,220,Poison,270,10,0,None,1,None,None,None,350,100,100,40,50,60,0,0
Rose Highness,10,364,260,Poison,300,10,0,None,1,None,None,None,350,100,30,30,110,40,40,0
Lunatic Rose,12,406,290,Poison,360,10,0,None,1,None,None,None,350,60,80,30,30,80,70,0
Teostra's Spada,7,252,180,Blast,210,0,0,None,None,None,None,None,350,100,60,60,100,30,0,0
Teostra's Emblem,8,266,190,Blast,240,0,0,None,None,None,None,None,350,70,50,60,120,50,0,0
Teostra's Medal,11,364,260,Blast,270,15,0,None,None,None,None,None,350,100,30,30,110,40,40,0
Xeno Mabura,8,238,170,Dragon,270,15,0,Low,3,3,None,None,350,130,30,60,80,40,10,0
Dragonbone Sword I,3,140,100,Dragon,270,0,0,Low,None,None,None,None,250,110,70,30,40,0,0,0
Dragonbone Sword II,4,154,110,Dragon,330,0,0,Low,None,None,None,None,250,70,70,30,80,0,0,0
Dragonbone Sword III,6,196,140,Dragon,450,0,0,Low,1,None,None,None,350,150,100,30,30,40,0,0
Dragonseal Aldsword I,10,294,210,Dragon,480,0,0,Average,1,1,None,None,350,170,70,20,20,70,0,0
Dragonseal Aldsword II,11,336,240,Dragon,540,0,0,Average,1,1,None,None,350,170,70,20,20,70,0,0
Blacksteel Sword I,5,140,100,Dragon,120,0,0,Low,None,None,None,None,300,150,110,40,0,0,0,0
Blacksteel Sword II,6,154,110,Dragon,150,0,0,Low,None,None,None,None,300,140,110,40,10,0,0,0
Aqua Messer I,2,140,100,Water,90,0,0,None,None,None,None,None,200,70,70,30,30,0,0,0
Aqua Messer II,3,168,120,Water,120,0,0,None,None,None,None,None,250,80,50,80,40,0,0,0
Aqua Messer III,4,196,140,Water,150,0,0,None,None,None,None,None,250,70,50,80,50,0,0,0
Rogue Wave I,5,210,150,Water,180,0,0,None,2,None,None,None,300,100,50,80,70,0,0,0
Rogue Wave II,6,224,160,Water,210,0,0,None,2,None,None,None,300,100,50,50,80,20,0,0
Rogue Wave III,6,252,180,Water,240,0,0,None,2,None,None,None,350,100,60,60,100,30,0,0
Rogue Wave IV,9,294,210,Water,330,0,0,None,2,None,None,None,350,100,80,30,30,80,30,0
Laguna Blossom I,9,308,220,Water,360,0,0,None,2,1,None,None,350,70,80,30,30,80,60,0
Laguna Blossom II,10,336,240,Water,420,0,0,None,2,1,None,None,350,110,30,30,60,50,70,0
Thunder Edge I,3,182,130,Thunder,90,0,0,None,None,None,None,None,250,110,70,30,40,0,0,0
Thunder Edge II,4,210,150,Thunder,120,0,0,None,None,None,None,None,250,100,70,30,50,0,0,0
Lightning Nemesis I,5,224,160,Thunder,150,0,0,None,2,None,None,None,300,140,70,30,60,0,0,0
Lightning Nemesis II,6,252,180,Thunder,180,0,0,None,2,None,None,None,300,100,100,40,40,20,0,0
Lightning Nemesis III,6,266,190,Thunder,210,0,0,None,2,None,None,None,350,100,120,40,50,40,0,0
Lightning Nemesis IV,9,308,220,Thunder,240,0,0,None,2,None,None,None,350,100,100,40,50,60,0,0
Usurper's Firebolt,10,336,240,Thunder,300,0,0,None,2,None,None,None,350,110,30,30,110,40,30,0
Usurper's Firebolt+,11,350,250,Thunder,330,0,0,None,2,None,None,None,350,130,30,90,30,30,40,0
Despot's Crookbolt,12,364,260,Thunder,360,0,0,None,2,None,None,None,350,120,30,90,30,30,50,0
Heavy Bang,4,210,150,None,0,0,+20,None,None,None,None,None,250,40,50,80,80,0,0,0
Heavy Bang+,6,252,180,Hidden Thunder,270,0,+20,None,2,None,None,None,300,80,50,50,80,40,0,0
Master Bang,7,280,200,Hidden Thunder,330,0,+20,None,3,None,None,None,350,90,120,40,50,50,0,0
Legacy Bang,10,336,240,Hidden Thunder,390,0,+35,None,3,None,None,None,350,80,80,30,30,80,50,0
Legendary Bang,11,364,260,Hidden Thunder,450,0,+35,None,3,None,None,None,350,130,30,30,60,50,50,0
Fatal Jho,6,280,200,Dragon,150,-20,0,High,None,None,None,None,350,60,120,80,60,30,0,0
Fatal Bite,7,308,220,Dragon,210,-20,0,High,None,None,None,None,350,50,120,80,60,40,0,0
Fate's Shear,12,392,280,Dragon,240,-20,0,High,None,None,None,None,350,150,30,30,60,50,30,0
Empress Edge,7,266,190,Blast,120,0,0,None,1,None,None,None,350,90,30,60,80,40,50,0
"Empress Edge ""Blaze""",8,266,190,Blast,150,20,0,None,1,None,None,Guts,350,90,30,60,80,40,50,0
"Soulfire Barb ""Blaze""",12,350,250,Blast,180,20,0,None,2,1,None,Guts,350,120,30,30,60,50,60,0
"Empress Edge ""Ruin""",8,280,200,Blast,120,0,0,None,2,None,None,Hasten Recovery,350,90,30,60,80,40,50,0
"Soulfire Barb ""Ruin""",12,378,270,Blast,150,0,0,None,2,2,None,Hasten Recovery,350,120,30,30,60,50,60,0
"Empress Edge ""Styx""",8,266,190,Blast,210,10,0,None,3,1,None,Razor Sharp/Spare Shot,350,90,30,60,80,40,50,0
"Soulfire Barb ""Styx""",12,350,250,Blast,240,10,0,None,3,3,None,Razor Sharp/Spare Shot,350,120,30,30,60,50,60,0
Witcher's Silver Sword,7,252,180,Dragon,300,0,0,High,1,None,None,None,400,250,20,20,20,30,60,0
Witcher's Silver Sword+,8,266,190,Dragon,330,0,0,High,1,None,None,None,400,240,20,20,20,30,70,0
Witcher's Silver Sword++,12,364,260,Dragon,480,0,0,High,2,1,None,None,400,50,30,30,110,40,140,0
Defender Warhatchet I,1,182,130,Blast,150,0,0,None,None,None,None,None,200,30,60,20,90,0,0,0
Defender Warhatchet II,3,238,170,Blast,180,0,0,None,None,None,None,None,250,30,60,20,140,0,0,0
Defender Warhatchet III,5,266,190,Blast,210,0,0,None,None,None,None,None,300,50,50,50,80,70,0,0
Defender Warhatchet IV,6,294,210,Blast,240,0,0,None,None,None,None,None,300,30,50,50,80,90,0,0
Defender Warhatchet V,7,308,220,Blast,270,0,0,None,None,None,None,None,350,90,30,30,110,40,50,0
Hidden Edge,10,294,210,Hidden Poison,270,10,0,None,None,None,None,None,350,70,80,30,30,80,60,0
Hidden Edge+,10,308,220,Hidden Poison,330,15,0,None,None,None,None,None,350,140,20,20,70,40,30,30
Flash in the Night,11,336,240,Hidden Poison,390,20,0,None,None,None,None,None,350,130,20,20,70,40,30,40
Glavenus Razor I,10,336,240,Fire,150,0,0,None,1,None,None,None,350,100,30,30,110,40,40,0
Glavenus Razor II,10,350,250,Fire,240,0,0,None,1,1,None,None,350,120,30,30,60,50,60,0
Icegale,11,364,260,Ice,210,0,0,None,4,None,None,None,350,140,30,30,60,50,40,0
Noble Ana Palas,12,378,270,Ice,270,0,0,None,4,None,None,None,350,130,30,30,60,50,50,0
Rex Talon,10,350,250,Hidden Blast,180,-20,0,None,None,None,None,None,350,70,30,30,110,40,70,0
Rex Talon+,10,378,270,Hidden Blast,210,-20,0,None,None,None,None,None,350,60,30,30,110,40,80,0
Tigrex Sword,11,392,280,Hidden Blast,300,-20,0,None,None,None,None,None,350,50,30,30,110,40,90,0
Donnersieger,10,336,240,Thunder,210,5,0,None,None,None,None,None,350,70,100,40,50,90,0,0
Donnersieger+,10,350,250,Thunder,240,10,0,None,None,None,None,None,350,70,100,40,50,90,0,0
Fulguration's Talon,11,364,260,Thunder,270,15,0,None,None,None,None,None,350,70,100,40,50,90,0,0
Nyx Tabar I,9,308,220,Sleep,270,0,0,None,2,None,None,None,350,60,80,30,30,80,70,0
Nyx Tabar II,10,336,240,Sleep,330,0,0,None,2,None,None,None,350,60,80,30,30,80,70,0
Dios Edge,10,322,230,Blast,300,0,0,None,None,None,None,None,350,90,100,40,50,70,0,0
Booming Barrage,11,350,250,Blast,360,0,0,None,1,None,None,None,350,80,30,30,110,40,60,0
Manifested Lotus,12,392,280,Hidden Dragon,450,0,+30,High,1,1,None,None,350,160,30,30,60,50,20,0
Rajang Club,11,406,290,Thunder,60,-15,0,None,4,None,None,None,350,100,100,40,50,60,0,0
Banned Rajang Club,12,434,310,Thunder,90,-15,0,None,4,None,None,None,350,90,100,40,50,70,0,0
Icicle Spike,10,294,210,Ice,210,20,0,None,None,None,None,None,350,100,30,30,110,40,40,0
Icicle Spike+,10,308,220,Ice,270,20,0,None,None,None,None,None,350,100,30,30,110,40,40,0
Nardebosche,11,350,250,Ice,330,30,0,None,None,None,None,None,350,100,30,30,110,40,40,0
Acid Razor I,10,378,270,Hidden Paralysis,180,0,0,None,4,None,None,None,350,160,100,30,30,30,0,0
Acid Razor II,11,406,290,Hidden Paralysis,210,0,0,None,4,None,None,None,350,60,50,110,90,40,0,0
Hydros Discus,11,378,270,Water,360,10,0,None,1,None,None,None,350,60,80,30,30,80,70,0
Accursed Claw,11,392,280,Hidden Sleep,180,-30,0,None,None,None,None,None,350,100,20,30,90,90,20,0
Stonebite,12,406,290,Hidden Sleep,210,-30,0,None,None,None,None,None,350,90,20,30,90,90,30,0
Guild Palace Sword,10,350,250,Hidden Water,330,10,+30,None,3,None,None,None,350,140,30,30,60,50,40,0
Royal Nova Sword,12,378,270,Hidden Water,420,15,+30,None,3,None,None,None,350,140,30,30,60,50,40,0
Gold Water Scimitar,6,224,160,Hidden Water,210,10,+20,None,None,None,None,None,350,90,120,40,50,50,0,0
Gold Dragon Scimitar,6,196,140,Hidden Dragon,210,0,+20,Average,None,None,None,None,350,170,70,20,20,70,0,0
Gold Blast Scimitar,6,224,160,Hidden Blast,180,0,+20,None,None,None,None,None,350,80,50,60,120,40,0,0
Glutton Gold Scimitar,6,238,170,Water,120,0,+20,None,None,None,None,None,350,90,120,40,50,50,0,0
Spew Gold Scimitar,6,224,160,Poison,180,0,+20,None,1,None,None,None,350,90,120,40,50,50,0,0
Mud Gold Scimitar,6,252,180,Hidden Paralysis,180,-10,+25,None,1,None,None,None,350,100,120,40,50,40,0,0
Rage Gold Scimitar,6,224,160,Fire,120,-20,+20,None,None,None,None,None,350,200,70,20,20,40,0,0
Numb Gold Scimitar,6,196,140,Paralysis,120,30,+20,None,None,None,None,None,350,50,120,80,60,40,0,0
Drifter Gold Scimitar,6,210,150,Blast,120,0,+20,None,None,None,None,None,350,80,50,60,120,40,0,0
Stream Gold Scimitar,6,196,140,Ice,150,0,+20,None,None,None,None,None,350,110,30,60,80,40,30,0
Tar Gold Scimitar,6,224,160,Sleep,120,10,+30,None,None,None,None,None,350,100,120,40,50,40,0,0
King Gold Scimitar,6,210,150,Fire,120,30,+20,None,None,None,None,None,350,90,60,60,100,40,0,0
Myth Gold Scimitar,6,196,140,Thunder,180,0,+20,None,None,None,None,None,350,130,100,30,30,60,0,0
"Taroth Slicer ""Glutton""",7,266,190,Water,270,0,+20,None,None,None,None,None,350,90,120,40,50,50,0,0
"Taroth Slicer ""Spew""",7,252,180,Poison,390,0,+20,None,1,None,None,None,350,90,120,40,50,50,0,0
"Taroth Slicer ""Mud""",7,308,220,Hidden Paralysis,180,-10,+25,None,1,None,None,None,350,100,120,40,50,40,0,0
"Taroth Slicer ""Rage""",7,294,210,Fire,240,-20,+20,None,None,None,None,None,350,200,70,20,20,40,0,0
"Taroth Slicer ""Numb""",7,224,160,Paralysis,240,30,+20,None,None,None,None,None,350,50,120,80,60,40,0,0
"Taroth Slicer ""Drifter""",7,252,180,Blast,270,0,+20,None,None,None,None,None,350,80,50,60,120,40,0,0
"Taroth Slicer ""Stream""",7,224,160,Ice,330,0,+20,None,None,None,None,None,350,110,30,60,80,40,30,0
"Taroth Slicer ""Tar""",7,266,190,Sleep,210,10,+30,None,None,None,None,None,350,100,120,40,50,40,0,0
"Taroth Slicer ""King""",7,266,190,Fire,180,30,+20,None,None,None,None,None,350,90,60,60,100,40,0,0
"Taroth Slicer ""Myth""",7,224,160,Thunder,360,0,+20,None,None,None,None,None,350,130,100,30,30,60,0,0
"Taroth Slicer ""Water""",8,266,190,Hidden Water,420,10,+20,None,3,None,None,None,350,170,70,20,20,70,0,0
"Taroth Slicer ""Dragon""",8,224,160,Hidden Dragon,450,0,+20,Low,3,None,None,None,350,170,70,20,20,70,0,0
"Taroth Slicer ""Blast""",8,238,170,Hidden Blast,390,0,+20,None,3,None,None,None,350,110,30,60,80,40,30,0
"Taroth Slicer ""Fire""",8,252,180,Hidden Fire,390,0,+20,None,3,None,None,None,350,210,20,20,20,30,50,0
"Kjárr Slicer ""Numb""",8,252,180,Paralysis,210,10,0,None,1,None,None,Critical Status,350,40,120,80,60,50,0,0
"Kjárr Slicer ""Stream""",8,238,170,Ice,300,10,0,None,1,None,None,Critical Element,350,100,30,60,80,40,40,0
"Kjárr Slicer ""King""",8,266,190,Fire,240,15,0,None,1,None,None,Critical Element,350,80,60,60,100,50,0,0
"Kjárr Slicer ""Myth""",8,238,170,Thunder,330,10,0,None,1,None,None,Critical Element,350,130,100,30,30,60,0,0
"Kjárr Slicer ""Water""",8,252,180,Water,330,15,0,None,1,None,None,Critical Element,350,160,70,20,20,80,0,0
"Kjárr Slicer ""Dragon""",8,238,170,Dragon,360,10,0,Low,1,None,None,Critical Element,350,160,70,20,20,80,0,0
"Kjárr Slicer ""Blast""",8,224,160,Blast,330,10,0,None,1,None,None,Critical Status,350,100,30,60,80,40,40,0
=======
Name,Rarity,Attack,True Attack,Element,Element Stat,Affinity(%),Defense,Elderseal,Gem Slot 1(Lvl),Gem Slot 2(Lvl),Gem Slot 3(Lvl),Skill,Max Sharpness,Red Sharpness,Orange Sharpness,Yellow Sharpness,Green Sharpness,Blue Sharpness,White Sharpness,Purple Sharpness
Hunter's Knife I,1,112,80,None,0,0,0,None,None,None,None,None,200,90,50,60,0,0,0,0
Hunter's Knife II,1,126,90,None,0,0,0,None,None,None,None,None,200,70,70,30,30,0,0,0
Hunter's Knife III,2,140,100,None,0,0,0,None,None,None,None,None,200,50,70,30,50,0,0,0
Steel Knife I,3,168,120,None,0,0,0,None,None,None,None,None,250,70,50,80,50,0,0,0
Steel Knife II,4,182,130,None,0,0,0,None,None,None,None,None,250,50,50,80,70,0,0,0
Steel Knife III,5,196,140,Hidden Sleep,120,0,0,None,1,None,None,None,300,100,50,50,80,20,0,0
Chrome Slicer I,6,224,160,Hidden Sleep,150,0,0,None,1,None,None,None,300,80,50,50,80,40,0,0
Chrome Slicer II,6,252,180,Hidden Sleep,240,0,0,None,1,1,None,None,350,50,60,20,150,70,0,0
Chrome Knight Sword I,9,308,220,Hidden Sleep,270,0,0,None,1,1,None,None,350,80,80,30,30,80,50,0
Chrome Knight Sword II,10,336,240,Hidden Sleep,300,0,0,None,1,1,None,None,350,70,80,30,30,80,60,0
Chrome Knight Sword III,11,364,260,Hidden Sleep,330,0,0,None,1,1,None,None,350,110,30,30,60,50,70,0
Bone Kukri I,1,140,100,None,0,0,0,None,None,None,None,None,200,90,60,50,0,0,0,0
Bone Kukri II,1,154,110,None,0,0,0,None,None,None,None,None,200,80,50,70,0,0,0,0
Bone Kukri III,2,168,120,None,0,0,0,None,None,None,None,None,200,80,50,50,20,0,0,0
Chief Kukri I,3,196,140,None,0,0,0,None,None,None,None,None,250,110,70,30,40,0,0,0
Chief Kukri II,4,210,150,None,0,0,0,None,None,None,None,None,250,100,70,30,50,0,0,0
Chief Kukri III,5,224,160,Hidden Paralysis,180,0,0,None,2,None,None,None,300,130,70,30,70,0,0,0
Grand Barong I,6,238,170,Hidden Paralysis,240,0,+10,None,2,None,None,None,300,100,100,40,40,20,0,0
Grand Barong II,6,266,190,Hidden Paralysis,300,0,+10,None,3,None,None,None,350,90,120,40,50,50,0,0
Radobaan Os I,9,322,230,Hidden Paralysis,330,0,+35,None,3,None,None,None,350,90,100,40,50,70,0,0
Radobaan Os II,10,350,250,Hidden Paralysis,330,0,+35,None,3,None,None,None,350,80,100,40,50,80,0,0
Radobaan Os III,11,392,280,Hidden Paralysis,360,0,+35,None,3,None,None,None,350,70,100,40,50,90,0,0
Jagras Edge I,2,168,120,None,0,0,0,None,None,None,None,None,200,70,50,50,30,0,0,0
Jagras Edge II,3,196,140,None,0,0,0,None,None,None,None,None,250,100,70,30,50,0,0,0
Jagras Edge III,4,210,150,None,0,0,0,None,None,None,None,None,250,80,70,30,70,0,0,0
Jagras Garotte I,5,238,170,Hidden Water,300,0,0,None,2,1,None,None,300,100,100,40,40,20,0,0
Jagras Garotte II,6,252,180,Hidden Water,330,0,0,None,2,2,None,None,300,90,100,40,40,30,0,0
Jagras Garotte III,6,266,190,Hidden Water,360,0,0,None,3,2,None,None,350,90,120,40,50,50,0,0
Saber's Gullet I,9,322,230,Hidden Water,390,0,0,None,3,3,None,None,350,80,100,40,40,90,0,0
Saber's Gullet II,10,364,260,Hidden Water,450,0,0,None,3,3,None,None,350,100,80,30,30,80,30,0
Blooming Knife I,2,154,110,Poison,210,0,0,None,None,None,None,None,200,60,70,30,40,0,0,0
Blooming Knife II,3,182,130,Poison,240,0,0,None,None,None,None,None,250,60,50,80,60,0,0,0
